Description,Is_Response
"""I’ve been on the depo provera shot for over 6 months now and don’t have any complaints. I haven’t had a period since I started it! No cramps, no blood, pretty much the only thing I deal with is the emotional cycle, which I can deal with just fine. When I get the shot, for about a day everything tastes weird. It makes my hip/leg feel weird but I found that walking around and staying rather active the day of the shot helps a bunch! The shot is super quick and doesn’t hurt at all, at least for me with a high pain tolerance. Oh, and I’m not pregnant at all! Me and my boyfriend don’t use any other form of protection and I’ve never even had a pregnancy scare. I used to be on the pill for 3 years and I like this even better. Overall, everything is going well! I would definitely recommend this form of birth control.""",happy
"""I got on depo on January 15 of 2020. Ever since I got on it, I have bleeding since then. I am tired of having to use tampons and pads just so I don’t ruin any of my clothing. Depo is very effective in my opinion but when I first got on it. I was moody and emotional for no reason! My hormones were off the track but as of now? It’s good! I have no experienced any weight gain so I have to say I am okay with this. Just not with the consistent bleeding.""",happy
"""I DO NOT RECOMMEND THIS AT ALL! It is effective at preventing pregnancy but the side effects for me are not worth it at all. I have been on it for about 2 months now and I am suffering everyday. Before the shot everything was fine with me but about 2-3 weeks after I got it I started getting terrible stomach pains, headaches, bad acne on my back which I've never had before, and before the shot I've never got a UTI but since I got it I'm constantly getting painful reoccurring UT’s no matter how much water I drink, I even had to go on antibiotics twice and they came back. My sex drive is so low now because when I have sex I am in so much pain, and I know I don’t have diseases, infections etc. because my doctors even did tests and they all came back negative. THIS IS JUST THE ABSOLUTE WORST THING I HAVE EVER DONE!! I WOULD RATHER GET PREGNANT 10 TIMES THEN GET THIS SHOT AGAIN!!!""",not happy
"""I got on the shot in early Nov 2019, it's now Feb 27th and I have been on a period since. Not a light period but a heavy ""blood clot"" type one. I'll never get this shot again, and I will not recommend it to anyone.""",not happy
"""I started out using this medication for birth control reasons. I never had an issue with acne or anything like that before or after starting this medications. I didn’t notice excess weight gain or any of the so-called “common” side effects. The only thing that happened was I stopped having my period completely after a month or so. And I was okay with that since I’ve always had painful menstrual cycles. I was on this medication for 5 years but was told that I had to change birth control methods due to bone density issues that others have had. I cannot wait to get back on it when I can.""",happy
"""Well I had last shot on 4th November should have had it re done end of January since then I’ve bled constantly really heavy and big clots massive in fact I've been the docs today sending me for scan make sure all is ok he did say can take while to get out of body. I’m also anaemic so bloody marvellous no pun intended keep u posted xx""",not happy
"""I was using depo for 17 years, switched to Sanaya press a year ago as I can inject myself at home. I didn't have any side effects at all while using depo. Before using depo I had very heavy and painful periods, luckily for me it completely stopped my periods and I have no monthly pain anymore. It does work for some people.""",happy
"""This is my second shot and I am still bleeding like the first one. The shot is supposed to work for 3 months, but for some reason, I get about a month only. After that, I literally have my period every day til I get my next shot. This shot has not been helpful at all. On top of getting my period every day for 2 months, I gain weight like crazy too. Too many cons, I would rather not be on the shot.""",not happy
"""The depo provera is horrible. My daughter is using it and it has turned my child into an awful person. Her attitude and the rages are unbearable. This shot has no reversal.""",not happy
"""I was advised to go on this as I have endo stage one I've been on it 9 months and it's been horrific I bled the first shot for 68 days then I spot constantly which is so infuriating worst decision I made going on this""",not happy
"""I got my depo-provera shot September 27th of 2019 all was good until December 19th I started bleeding. I went in that day got my shot and the bleeding stop. And then January of 2020 came, the week of the 13th. I started bleeding I let it go thinking okay 7 days regular period cool!!. Nope 2 weeks happened then 3 weeks happened. I went to the drs on my 3rd week.. I was prescribed .05 mg of estradiol and to take it for 10 days, was told bleeding should stop around 4-5. Guess what, I'm still bleeding. Uuugh. I don't go back in for my next shot until next month between March 13th-27th. Im thinking about just scheduling another drs appt.""",not happy
"""I had a medical abortion at 4 weeks pregnant for personal reasons. The nurse, in a way, forced me to have this injection. I asked her about the side effects and she only mentioned weight gain which I thought would be fine as I’m quite petite and wouldn’t mind gaining weight. However, after reading all these reviews and doing my own research I’m unsure it was the best decision. I’m terrified of the damage it may have already caused to my body and I will definitely not be taking this injection again.""",not happy
"""I thought I would get Depo after a pregnancy scare my first jab was given at the beginning of August 2019, I bled from the next day onwards right up to when the next one was due so I decided not to have it, and it’s now mid-feb and I am still bleeding, I have had the occasional day where I think it’s over and it comes right back. In total over 6 months I have had 5 days of non-bleeding! It is almost like a form of torture, I thought it would be out my system by now!! DO NOT HAVE THIS, IT WILL BE THE BIGGEST REGRET OF YOUR LIFE!!""",not happy
"""I’ve been taking this for 20 years. It’s been fantastic! No periods, no side effects. Until now. I’ve been spotting for weeks. But I’ve also had to take steroids for arthritis. Probably related.""",happy
"""So I've been on this Depo-Provera shot since I was 16. I’m 18 now. I haven’t bleed on my period for 2 years. This past week I started to spot. Now I'm getting really heavy bleeding that’s bright red. It’s just a little odd that I’ve been on it for 2 years and haven’t bled at all and now all of the sudden I am. I am not sure if this is normal or not.""",not happy
"""I have had irregular periods my entire life but when I say Depo has made things even worse I mean it. I got the Depo shot for the first time in January, a week after my period, and at the end of the month I started spotting and cramping as if I was on my period but my body couldn't pass any blood. Now it's a full month, and a couple of weeks, on Depo and I have not stopped cramping or spotting since. Its scary because it really does feel like I'm on my period but I just can't bleed. And when I do bleed it's either dark brown or bright red. I don't think I'll be getting my second shot, not unless it can seriously change my cramping, bleeding and anxiety.""",not happy
"""Worst contraceptive ever. I had my first depo shot on the 9th of Jan. Approximately two weeks after I started spotting and then bleeding heavily. I am so mad that my doctor never indicated or told me about any of these side effects. I will not be going back for a second injection. Now, I feel like I am on a permanent menstrual cycle. If any of you ladies are really wanting to do something about this horrible drug, report it to the FDA. And also to Pfizer on their website. I believe this drug needs to be removed from the market. I don't think any woman wants to keep bleeding for months on end at a time.""",not happy
"""I’ve received the shot 2 months ago and have not stopped bleeding since. I haven’t been able to have intercourse with my husband because of the bleeding. This birth control is not working out for me""",not happy
"""On 9/13/19, the nurse gave me the 1st depo shot but she didn't said nothing about the side effects. I spotted until 1 week before thanksgiving. Then I bleed every other day. I gained a few pounds, no sex drive, vaginal dryness and had some strong cramps. On 12/29/19, I went to the ER and the doctor said Depo is making me bleed and it should stop within couple months. After that day, I bleed heavier everyday & I was getting tired of it. I went online to see reviews about this & I discover a remedy. I took two 1300mg Evening Primrose oil capsule each day and on the 5th day my bleeding stop. The FDA should never approve this shot. I hope one day the FDA will take this off the market. No lady should suffer like after taking a medicine that should help them.""",not happy
"""The depo-provera is horrible. Had my son July 2019 and had depo I have been spotting since then, I could hardly tell if I get my period because there is blood everyday. I hope my fellow women get this message before they take this horrible shot.""",not happy
"""I started my first Depo-provera shot at the beginning of January and have been bleeding lots of bright red blood for about 2 weeks now. After reading everyone’s reviews about the nightmare not ending even after stopping the injection, I’m really regretting this decision. I’ve had the worst cramps ever and I’m bloated and feel exhausted everyday. Having a full period for 2 weeks is ridiculous and the fact this can last for months is stressing me out. I was very optimistic about trying out another form of birth control since I had issues with the combination pill. My doctor said I would experience just some light spotting until my body adjusted which isn’t accurate. Please avoid this injection at all costs! It isn’t worth the possibility of being stuck with these horrible side effects for months until it’s out of your system and maybe even beyond that! This was the worst mistake ever and not worth it.""",not happy
"""I took one depo provera shot in October 2019 and started a period 2 weeks later. Basically that period hasn't stopped till today February 4th 2020. I have tried other hormonal treatments to stop it and all that would happen is that it would stop and start again. Very heavy bleeding with huge clots. It's all very alarming and annoying. All this even though I didn't take the second shot in January. DO NOT TAKE IT!""",not happy
"""I received my second Depo provera shot early October after having it once before and while I was 17/18. My mood swings are horrible still, breast tenderness is outrageous I also have had the worst cramping pain (worse than IUD pain). It was unbearable when I first started ovulating I could not lay flat in bed, had a heating blanket and heating pad on my lower back and abdominal area for a week. I took midol and ibuprofen like the doctors told me and nothing has stopped this. I have clots coming out, they want me to come in again to poke at me. Just super put out and exhausted. I am sleeping up to 10-12 hours a day. It has caused me to have less ambition at my work place too. I am very active as I am a CNA at the hospital but I bleed through my pants at least 2 times a shift. My acne is horrible around my chin and my stomach is sore from the on/ off bloating. It brought tears to my eyes finding this page and seeing I am not alone in this.""",not happy
"""I love the depo shot I’ve been on it six years almost. I haven’t had any issues with it other than minor acne, but I’ve always struggled with that my whole life. However, I know this isn’t for everyone, but it works best for me. You have to take calcium everyday to make sure your body isn’t losing out on it.""",happy
"""This is horrible method of contraceptive ever. They must not continue giving this to patients. This bleeding won't stop and I don't see a light on end of my tunnel, plus depression which I never had before. Don't, don't , please don't ever take this shot!!!""",not happy
"""My periods were always heavy I started using depo shot in 2018 When I was 38 I was on the shot for 2 years this year I will be on the shot for 3 years my appointment for my next injection is on February ,17 my last injection was on Nov .9 2019 I hope that my period won’t be heavy until my next injection""",happy
"""DON’T DO IT I’m a nurse, had my mirena removed as 5 years had passed and wanted something short term for birth control. Thinking of baby planning... My gynae suggested depo, she didn’t give me any huge information but I took her recommendation. 3 weeks in I started crying for no reason and hysterically. I became anxious to the leave the house. I had achey hips, bloating, weight gain and hot flushes. When speaking to Drs and pharmacist they explained I was in ‘temporary menopause’ and I’d have to ride it out. I’m now 7 weeks in and still not feeling myself. My emotions have improved, I still have pain and bloating. Dreading coming off the depo and wished I’d conducted my own private research. Will not be taking the next injection let alone ever again. I’ve also been told ovulation can take months to return, which horrified me as I told my gynae I wanted short term contraception as was hoping to start planing for kids in a year max.""",not happy
"""I cannot stress enough about how bad the depo is! I got the shot in Sept. 2019 and am still having horrible side effects. I am so bloated, sore breast and having intense cramping. I've been bleeding non-stop for almost 5 months now. This is so depressing! Along with that I am having extreme mood swings and depression. I never had either of those things before. I wish I could go back in time and never get this shot ever. I only had one shot, I had no idea these horrible side effects would last so long.""",not happy
"""Had the shot mid October 2019 and it is now 29 January 2020 and haven’t stopped bleeding since the day after I got it. It started off as spotting for a week then it increasingly got worse and heavier. Went back to the doctors in November and they gave me Tranexamic Acid. That didn’t work at all. I went back again and the doctor gave me primolut that slows down my bleeding for a couple of hours until I have to take my next tablet. I’m tired all the time and always on edge. The dr never told me this was a common side effect or I wouldn’t of taken it considering I’m already iron deficient! Anyone thinking of taking it please don’t!""",not happy
"""I was put on the Depo shot a year ago to help treat my extremely painful periods. It stopped my menstrual so for year I've been able to avoid the terrible pain I was in every month. However, the side effects have been awful. My whole face is covered in painful acne and I didn't have this problem before the shot, I've experienced terrible headaches, I've spotted the whole year I've been on it and had other discharge as well, my anxiety is through the roof and it has worsened my depression. My advice is stay far away from the shot if you can avoid it. I can say its been nice not having the terrible pain endro was causing me every month but the other side effects are almost just as bad. I just had my last shot and will never take it again.""",not happy
"""Got the shot after my son was born October 2019 , here it is January going on February an I have yet to stop bleeding they gave me birth control pills to stop it and it got worse then they told me to take ibuprofen an it only works if you take it consistently. The mood swings and fatigue is the worse . Idk what to do""",not happy
"""I was on the Depo for about 7 years, I then stopped it due to health concerns and I suddenly got severe acne all on my chin and I still have it after 2 years! I never suffered from acne before, I had quite good skin as a teen with just the odd spot every now and then and now I'm worse at 26 yrs old! obviously no one told me this was a side effect from the depo so that's great.. -_-""",happy
"""Worst decision I have ever made I have fibroids and I got the shot on 11/11/2019 to help me with the heavy periods problem so my period was gone until 1/11/2020 I started bleeding and it’s the worst nightmare. I have even been painful cramps heavy bleeding horrible and continuous blood clots headaches seriously I’m praying every day for this symptoms “Side effects” to go away So I definitely not recommend to get the shot it’s been a nightmare for me """,not happy
"""I was on depo before from when I around 18 years old to 21 years old and never had a bad experience. So now at 30 I decided to try it again. I got my first injection on 9/26/19, didn’t get a period, some spotting for a week in November but that was it for the bleeding. But wow the mood swings were terrible, so I decided to not get the 2nd injection in December. So 12/18-12/21 I had my first period and thought sweet I’m back to normal. Welp I was wrong cause I bled again the 3-8 HEAVILY EVERYDAY!!Then it stopped and here I am again on the 18th bleeding HEAVY AGAIN!! Ugh the feeling of am I gonna be bleeding heavy for several days again sucks!!Never taking Depo again!!""",not happy
"""I started Depo because of it's high effectiveness in birth control. After getting pregnant twice in one year I thought something more effective would be smarter. I've been on it 8 years and I absolutely love it. Shortly after starting Depo my periods went away, I'd say after the second shot they were completely gone. I had spotting very rarely, maybe once or twice a year. It's hard to blame Depo on my weight gain. When I first started it I was 97lb (I'm 5'2) and I stayed around 105-110 the first 3-4 years on it. I'm now at 120lb and have been around 120-125 the past several years. Since bone density loss is a possible side affect I had to get scans every 3 years. The scans showed that I had zero changes in my bone density. My only complaint and reason why i'm getting off of it is my decreased sex drive. I completely lost all motivation and drive and being married that's become an issue. Otherwise, I adore Depo and wish I could stay on it forever.""",happy
"""Hi every one I got the Depo-provera shot in July 2019 and was spotting till November so upset couldn't have sex and I read something about red raspberry leaf tea and that it made the menstrual bleeding stop. I got my real period a week after and have one week on my period and one week off for the last 7 weeks so I don't drink it anymore. But for the spotting it is working! So PLEASEEE try it everyone it was a life saver. Just drink a heap of raspberry leaf tea as much as u can drink a day.""",not happy
"""I was on Depo for a year, and had my last shot om 7th March 19, when I was on depo I would have the occasional bleed but overall it suited me. However since I have stopped taking it OMGoodness....so I kept a diary. Injection wears off roughly 12/13 weeks after last injection so 1st week in June. 4 day bleed in July, 3 day bleed in August, 9 day bleed in September, 15 day bleed in October, 5 day bleed in November and get this...... last period started 30th November and today is the 12th January 2020 and I am STILL bleeding!!! Sick of my life!! I am off to the doctors tomorrow as I cannot handle this anymore 44 days of solid period (no let up) and I am done. If anyone had told me this might of happened then I would have for sure never ever take this injection.""",not happy
"""Depo ruined my life. I had anxiety and depression to begin with but it was well managed with antidepressants. I went on depo and it made me go from 118lbs-150lbs within 3 months. I lost all motivation sleeping 16-18h a day, only getting up for work and working out as I was disgusted by my body. While on it I had some bizarre suicidal ideation that subsided after the 3 months. I only had one injection of depo. It’s been over a year since I was on it and the doctor told me that it’s possible that depo made permanent changes to my metabolism as I have been unable to lose the weight despite rigorous exercise (~12-14h/wk, I am an ex varsity athlete and am no stranger to intense workouts) and if anything a LESSER caloric diet than previous to the depo, and I have been unable to find a medication that is effective at treating my depression. This should NEVER be prescribed to anyone especially someone with mental health history.""",not happy
"""I have been off depo 9 months, it did what it was supposed to and I didn't get pregnant while on it nor did I have a single period after the 2nd month. However now that I am off the shot and trying to get pregnant I am having a hard time. We have been trying for 4 months and I am having irregular bleeding between periods, missing periods, even 2 in one month after I missed one, and am not even sure I am ovulating because we try almost every day... Not only that but I still have cystic acne from it! My skin has not looked this bad since middle school. I do NOT recommend this stuff!""",not happy
"""I got the depo before I was pregnant worked great no period no issues. I just got it again after having my son... Someone please tell me they've had a normal 3-7 day period after getting it - I've read horror stories about people bleeding for months at a time. I hope that's not me!""",not happy
"""Worst contraception ever! Started it in January and was constantly bleeding for 3 months then my period was on and off. Came off it in November and I have not stopped bleeding since.. 2 months later...""",not happy
"""I've been on and off this Depo-Provera shot for about 10 years. I got off and on multiple times no issues.. August 2012 I've just had a child. Worst post partum ever. Got depo, it's been 7 years and I've never been so mentally ill before in my life. Basically bipolar depression and all the other crud that can come with having no period for 7 years and more.. August 3rd 2019 I'm supposed to get my next on NO WAY ITS JAN 8TH IM STILL BLEEDING DON'T GET THIS""",happy
"""I had my baby March of 2019 I got my first shot in June after research it's like I only found confident and good reviews so I thought this was the birth control for me! I was so wrong, after receiving the shot I had headaches for 3 days straight then bled for 2 weeks I thought it was my body getting used to the depot shot after the 2 weeks the next 2 and a half months were perfect so much so I went back for my second shot. After the second shot I felt like I wasn't myself then the great depression came it almost split up my relationship I was so up and down, at that point I was bleeding for weeks, I was due for my 3rd shot days ago and I have no intention of getting it. It's a joke and I'm now in the process of waiting for it all to leave my body I looked up reviews this morning to see if my symptoms were normal but within 6 months the reviews for this contraception has drastically become more and more negative. Unfortunately that's me done with contraception""",not happy
"""I really wish I saw this page before I took the depo :( I got onto birth control to be with my boyfriend and for the first month I only had spotting for 3 days and it stopped. Then around the 2nd month, I bled very heavily and passed a huge placenta sized clot. Scared me to death. I had panic attacks and depression for a week. Went to the doctor because I felt so sick I thought there was something seriously wrong with me. They said ""its normal"", gave me ibuprofen and left me on my way. The bleeding stopped for 4 days and started again. I haven't had sex with my boyfriend in so long and I'm so tired of bleeding. I'm tired, sad, and angry all the time. I can't have sex without there being so much blood. The amount of shame, sadness, and embarrassment I feel is immeasurable. I'm so mad the doctors never told me any of this would happen and now I'm scared it's going to last longer. I'm so tired of crying over this.""",not happy
"""I got the depo shot again after being off birth control for 8 years. The dr talked me into it, although I warned her I go crazy. By crazy I mean extreme mood swings, severe depression and suicidal thinking. I thought okay maybe now that I'm in my 30's birth control would be different. I am the same person I was when I was a teenager. Depo and all horomonal birth control cause severe mental health issues for me, my mother put me on birth control as soon as I hit 15. Soon after I was diagnosed and put on various psyche drugs. Took many years to believe in myself and stop listening to drs that horomones don't cause issues that severe. Well they do. And I made the mistake of trying it again .I won't be getting my next shot this month. Do the rhythm method ladies. Hormones are a disaster for your mental health and your body.""",not happy
"""I have fibroids and heavy bleeding. I am nearing menopause, so I was hoping I could receive some type of treatment so that I wouldn't have to have a hysterectomy. My doctor recommended the Depo shot. I received the first shot October 3, 2019 and had 4 weeks of no bleeding. I started bleeding in November and it has been non-stop. It started off light and got heavier. I received the second shot on December 26th and the bleeding has remained heavy, clots included. I'm now on day 60 of bleeding. I don't plan to get the third shot.""",not happy
"""I got this shot back on June 23rd 2019 and sadly to this day I am still bleeding. I never returned for the second shot and have been on the pill to try and help but sadly it doesn’t. I guess I now have to accept the fact that this is part of my life now and hope that it will eventually stop. I am depressed because of this and it’s really hard each day seeing the bleeding. I have never had any trouble before and I wish I saw this site because I would not have gone through with the shot. I hope this post helps one person not go through what I have to each and every day. I am 35 and am now look at a hysterectomy to fix the issue because I could imagine living like this forever. 7 months is straight bleeding. This shouldn’t be available.""",not happy
"""Do not recommend this shot I was suppose to get the IUD but during my birth when they broke my water I had an infection which I couldn’t get the IUD so they recommended me the shot .. And they did not tell me the side affects they just told me it’s birth control .. ever since I had my baby I’ve been bleeding bleeding bleeding I had her September 13 now it’s January the 4th I hate this and I want to stop bleeding I already finished like heaps of packs of pads ! I wish I never got it""",not happy
"""Depo was the best birth control I ever had. No weight gain. No moodiness. I did have to get the injection every 2 months instead of every 3 months due to bleeding. Besides that, it was a breeze. I'm excited to return to it.""",happy
"""I’m 22 and started the depo when I was around 17 because I have epilepsy and the pill made me have break through seizures. I also have had irregular periods. On the first maybe 6-8 months I had more irregular bleeding. Talked to my doctor and he said it’s normal but did tests to make sure everything is normal. Turns out my thyroid is slow so I went on medication for that and after that I was fine. No bleeding unless it was a few days before my next shot but very lite spotting. Went off of it for a while because I wasn’t having sex so I felt like I didn’t need it. Then I started it again around a year and a half ago. No problems. I have gained weight and have some hair loss but besides that it’s great. Would definitely recommend.""",happy
"""I started taking the Depo shot May 2012 after I gave birth. I had no bleeding for seven years, which was good for me because I didn’t like seeing my period. The shot was effective because I didn’t get pregnant; it did what it was suppose to do. I stopped in August 2019. I started spotting dec 25-27 and then it became heavy. It is a lot of blood with big blood clots and it’s as if it not going to stop. It’s now Jan 2 and I am becoming frustrated. Think I will be visiting the doc on Sat to see how to handle it or if the bleeding is associated with depo for that matter. I came here to see if anyone was going through what I am experiencing and I see a few. """,happy
"""I have been on the depo for about 1 1/2 years. The only problems I have with being on the depo is not being able to feel sex like I used to and my hair won’t grow. I also have gotten very sensitive on my vagina to where I can’t have sex at all. I loved this birth control at first because I haven’t had a period the whole time I have used it but I have had no period! I would recommend if you don’t want to get pregnant. (Due to no estrogen being in the shot) the sex is painful!""",not happy
"""Please, never EVER have this drug. I had this as a form of contraception after an ectopic pregnancy and it is my biggest regret. I started bleeding extremely heavily a month later. I was going through a pad an hour and passed a clot as big as my hand! I was rushed to hospital and put on tranexamic acid to stop the bleeding. It lasted 3 weeks. From so much bleeding, I developed a bad case of thrush followed by bacterial vaginosis. When depo began to wear off (at 3 months) I began to bleed again and I have not stopped for the last 6 weeks. I’ve tried tranexamic acid again, and primrose oil but neither have worked. My gyno suggests another depo-provera shot (no way), the pill to stabilise it or to just “ride it out”. FML.""",not happy
"""I’ve been on the depo for about 6 years now, fortunately I have never had a period whilst on this contraception, only spotting on a hand full of occasions, I feel like this is amazing as before had I couldn’t even leave the house because of my periods, I’ve also lost about 2 stone over the years whilst being on this injection and that’s without changing diet or activity! However I’m almost 21 and suffer with really bad spots so starting to feel like this could be the cause after reading reviews.""",happy
"""Omg!!! Why did I choose this shot! I received the shot on 11/ 26/ 19 it is now 12/28/19 and I’m STILL bleeding!!!! Omg I started thinking I had cervical cancer or something! This shot is the worst !! I’m never getting it again!""",not happy
"""Well my experience with this depo shot is absolutely horrible! I have heavy menstrual periods so I went to my Dr to get the shot Nov 13, 2019! I have been bleeding from then til now in Dec 27 2019! I thought I was doing my body a favor but this bleeding is ruining my life!! I will not be taking my next injection!! I might as well suffer with my heavy bleeding and get on the pill!! Never will I ever do this again!!! God please help me!!!""",not happy
"""The depo shot is the worst form of birth control!! I took the shot once after I had my baby and I have been bleeding everyday non stop ever since!!! It's depressing draining etc.. How long will this last!? I've had side effects of cold sweats, sleepless nights, blood clots, dizziness and even ended up in the hospital from passing out. Turns out I had an abnormal liver test come back and I just read into the depo and it said this can also be a side effect. So this has been a terrible experience so bad that I'd rather go back to being 9 months pregnant and constipated than deal with this because I'm still bleeding to this day!!! Uhhh... Save your body from the torture ladies, don't get on depo. You will regret it and it will be too late because it's already in your system and then you'll be like me wondering if you're ever going to stop bleeding......""",not happy
"""THIS BIRTH CONTROL SUCKS. What is the purpose in being on birth control if you're unable to have sex? I have been bleeding non-stop for the past month definitely will NOT be getting the next shot and will be going back on the patch.""",not happy
"""This depo-provera has to be the worst experience of my life I took this medication back in September on the 7th I was perfectly fine up until October 1st the spotting began I thought it was my period but something was off it was dark and minimal it continued for weeks and weeks I started taking ibuprofen to help stop it and it worked I finished a whole bottle of 100 pills and it didn’t stop then the pills have stopped working and the spotting got heavier I went back to planned parent hood and apparently this is “normal” this is horrible. I never went back for a second shot not to mention they prescribed me the mini pill to “ help"" the bleeding but hasn’t done anything so I stopped taking. that it’s been 86 days and there’s no signs of it stopping anytime soon and its devastating .. I’m also so emotional because of this medication I cry at least 3 times a week I just want this nightmare to end""",not happy
"""I'm 22, been on the pill for 2 years but it started to make me extremely sick . I've always had very irregular and light periods. Typically only last for about 3-4 days. I hated the pill, I always forgot or was put on another type so when I heard about the shot it seemed like a good fit. I got my shot in November and not due for another until Feb. I was told the day I got the shot, no sex until a full week had passed, so ladies, take that advice to avoid a baby. After the shot I experienced very mild cramping, manageable though. About a month or maybe 3 weeks later, I bled for a week. Was terrified it was going to last for the entire three months but it didn't, just a full 7 days. I am always hungry, like very hungry but I've always been underweight so I'm not upset about how often I eat. Who knows maybe by the next shot my story will change, but for right now, Im very happy with it.""",happy
"""The Depo provera shot destroyed my body. I took the 3 month shot & gained 30 lbs within the first two months of my first (and only) shot. I have huge stretch marks from how fast I gained weight. At the time I was very active, eating healthy, & had a high metabolism. After the weight gain my doctor told me I am at very high risk for heart disease now. I had anxiety attacks daily, & my depression peaked for the long 3 months. My depression continued to be horrible for following months. I have had no luck getting pregnant for the last year since I took it. After the first 3 months, I had an extremely painful period that lasted a month. The depo provera shot literally pumps you full of enough hormones to last for three months. I would not suggest it to anybody. Here I am over a year later, with the worlds slowest metabolism, and I can’t even look at myself in the mirror without seeing all the weight I gained. It plummeted me into depression and pain that I hope no one else has to experience.""",not happy
"""BEWARE! This the worst form of birth control! I got the shot thinking I absolutely would never remember to take the pill but the next few months changed my mind. I bled non stop for 4 months. I passed huge blood clots the size of tennis balls once a month. I never experienced acne but after that shot I developed huge cystic bumps on my face. Very very deep and would leave horrible scars on my face. Lastly I developed a beard. About 20 chin hairs on my face. 3 years later I’ve gotten back to my regular face after tons of chemical peels and Microneedling. The best form of birth control in my experience was the pills, the lowest amount of estrogen and you can stop anytime if it doesn't suit you. DO NOT GET THE DEPO PROVERA SHOT!""",not happy
"""I only got this shot once after the birth of my daughter. I bled the whole time, had severe depression, hair loss, abdominal cramping, unbearable fatigue and mood swings. I do not recommend this shot to anyone.""",not happy
"""i recently had a baby & in August, at my 6 week postpartum appointment my ob recommended the Depo shot. All I was told was that I have to get it every three months, & I may have little to no period at all. The first month was okay, the only symptom I had was spotting every once & a while, but I'm on the third month now & I have been bleeding for 15 days & I'm not sure its going to stop. I have to go in to my ob to get another shot in two weeks & I'm not sure what to expect. Nor do I know if I will ever stop bleeding. The only effective thing it has done for me so far has kept me from getting pregnant. But I'm not so sure its worth all of the side effects I'm hearing from others.""",not happy
"""How illegal this drug should be right?!? Got the shot in October 2019 didn’t have a period whole month of November. It’s now December 22nd and I’ve been heavily bleeding for 10 days straight. I can only imagine how long this is gonna last but you can be damn sure my doctor is gonna get an ear full when I see her next. Doctors should tell you the side effects but no they don’t cuz it’s another dollar in their pocket. This is so pathetic. Plz don’t take this shot unless you don’t like sex or like to bleed for the fun of it. """,not happy
"""I got the DEPO shot in the beginning of October 2019. Started off with no problems. Two weeks later I started slightly spotting. Then BOOM! I have been on my period (and HEAVY) ever since! It is now December 21, 2019. It’s ruining my life! I have not had sex since midway October since its been heavy. Been having mood swings. Been so tired! WHEN WILL THE BLEEDING STOP!???? I’ve gone through numerous amounts of pads and underwear I’m going crazy! & my hair is falling out! Why don’t doctors tell you this before we get the shot? Will it end after the third month is over and I don’t get it again? I just wanna cry""",not happy
"""So earlier before now I was having this prolonged period and my ex boyfriend suggested I take the shot, the doctor never explained to me that I'll bleed for months when the shot elapses. Took the shot April 2019 it worked perfectly then bleeding started June 2019 and up till today December 21st I'm still bleeding, I'm tired I've drastically lost weight, my feel depressed, I get angry so fast I feel my world has come to an end, I buy pads all the time.I think I'm gonna arrest my ex boyfriend for making me go through this. Since June I've been single haven't had sex because I'm ashamed of myself I've had dark thoughts most times. Depo shot is the worst mistake of my life!""",not happy
"""4 months on depo and I absolutely HATE it. I got my shot in August, for the first week everything was fine. Then I got what I thought was my period, when in fact I have no idea if this was my period or the bleeding depo causes! Ever since August I had this bleeding that lasted literally up to the day I was supposed to get my next shot. It stopped on that EXACT day I was scheduled for my appointment, but I had to reschedule 2 weeks later. So once I got my 2nd shot I figured this bleeding wouldn’t come back right? Well no longer than a week later I started bleeding again & I’ve been bleeding for 11 days now. I regret this shot so much & I’m mad with my doctors for not discussing the side effects with me in the first place. Not to mention the entire 3 months i’ve had mood swings, random bouts of anger/depression, and my sex life has gone downhill due to bleeding. I will not be getting my next shot @ all, in fact I’d rather switch to pills or leave birth control alone COMPLETELY.""",not happy
